date,team,home,mp.mean,fg.total,fga.total,fg_pct.mean,fg3.total,fg3a.total,fg3_pct.mean,ft.total,fta.total,ft_pct.mean,orb.total,drb.total,trb.total,ast.total,stl.total,blk.total,tov.total,pf.total,pts.total,plus_minus.mean,ts_pct.mean,fg3a_per_fga_pct.mean,fta_per_fga_pct.mean,orb_pct.mean,drb_pct.mean,trb_pct.mean,ast_pct.mean,stl_pct.mean,blk_pct.mean,tov_pct.mean,usg_pct.mean,off_rtg.mean,def_rtg.mean
2017-04-02,Washington Wizards,0,21.81969696969697,43,92,0.46763636363636363,10,27,0.3505,19,25,0.7678571428571429,9,29,38,28,9,3,14,20,115,-10.909090909090908,0.5408181818181819,0.24654545454545454,0.22472727272727272,8.318181818181818,13.49090909090909,10.790909090909091,14.618181818181819,1.4636363636363636,1.1727272727272726,10.118181818181819,20.854545454545455,106.18181818181819,134
2017-04-03,Minnesota Timberwolves,1,24,41,84,0.4191111111111111,4,9,0.311,24,28,0.8611428571428571,12,32,44,26,3,5,11,18,110,0.5,0.519,0.175,0.5316666666666666,5.96,14.24,10.47,12.49,1.52,1.16,20.19,17.3,104.9,121.6
2017-04-03,Portland Trail Blazers,0,30,38,86,0.44675,11,32,0.25385714285714284,22,25,0.8528,11,24,35,24,7,9,5,18,109,-0.625,0.54125,0.33175,0.265625,4.625,14.0875,8.9375,15.6625,1.45,2.3375,5.425,19.2,118.25,123.25
2017-04-04,Brooklyn Nets,0,18.46153846153846,48,75,0.6686923076923077,16,31,0.45133333333333336,29,33,0.8518888888888889,1,35,36,36,9,5,17,18,141,8.846153846153847,0.8011538461538461,0.4127692307692308,0.4453076923076923,0.7615384615384616,14.1,9.838461538461539,18.338461538461537,1.6153846153846154,1.4076923076923076,13.86923076923077,19.823076923076922,141.15384615384616,115.46153846153847
2017-04-04,Charlotte Hornets,0,24,40,79,0.5382,12,34,0.2327142857142857,19,22,0.9047142857142857,9,28,37,21,5,3,16,17,111,-3.5,0.6309,0.3246,0.2764,5.97,15.96,10.63,10.82,1.04,0.88,18.330000000000002,19.41,109.7,124.5
2017-04-04,Chicago Bulls,0,21.81969696969697,32,85,0.2963636363636364,6,27,0.17955555555555555,21,23,0.9445,11,26,37,22,7,5,14,15,91,-4.090909090909091,0.35954545454545456,0.3819090909090909,0.18536363636363637,3.5454545454545454,12.472727272727273,7.663636363636364,18.354545454545455,2.290909090909091,1.0272727272727273,18.990909090909092,18.618181818181817,76.63636363636364,107
2017-04-04,Cleveland Cavaliers,1,20,44,82,0.46690909090909094,18,36,0.43122222222222223,16,21,0.75,5,37,42,30,9,3,12,18,122,8.333333333333334,0.5774545454545454,0.434,0.27236363636363636,1.7916666666666665,14.316666666666666,8.858333333333333,12.825,2.1083333333333334,0.7333333333333334,9.645454545454546,17.091666666666665,93.08333333333333,105.33333333333333
2017-04-04,Dallas Mavericks,0,24,32,80,0.4334,12,43,0.28700000000000003,11,14,0.8,8,31,39,21,9,9,16,13,87,-5.5,0.5296,0.5093,0.2048,3.17,14.79,8.58,19.14,1.94,3,14.36,20,98.3,105.4
2017-04-04,Denver Nuggets,0,30,53,99,0.47925,13,30,0.44766666666666666,15,21,0.7055,15,35,50,31,3,2,10,20,134,1.875,0.552125,0.26675,0.19362500000000002,7.225,16.4,12.075,15.025,0.46249999999999997,1.2125,7.5625,19,132.625,129.625
2017-04-04,Golden State Warriors,1,18.46153846153846,44,84,0.59975,14,32,0.4107142857142857,19,24,0.7698571428571429,8,32,40,33,9,7,13,19,121,5.384615384615385,0.701076923076923,0.23483333333333334,0.19558333333333333,9.961538461538462,14.484615384615385,12.53076923076923,15.046153846153846,1.5153846153846153,1.7846153846153847,16.76153846153846,19.253846153846155,126.07692307692308,109.61538461538461
2017-04-04,Indiana Pacers,1,20,39,89,0.4304,12,25,0.5332857142857143,18,18,1,10,33,43,16,7,4,11,17,108,8.181818181818182,0.527,0.25680000000000003,0.1269,2.6166666666666667,14.525,8.208333333333334,8.133333333333333,1.0333333333333334,2.2,15.05,14.666666666666666,84,99.16666666666667
2017-04-04,Memphis Grizzlies,0,26.5,35,89,0.3911,8,25,0.2832857142857143,11,18,0.6111666666666666,12,38,50,26,9,2,15,20,89,-3,0.4742,0.2877,0.2039,4.51,16.2,10.13,18.09,1.72,0.72,13.59,18.99,89.5,100
2017-04-04,Milwaukee Bucks,0,20,29,81,0.33725,3,18,0.12487500000000001,18,26,0.6903333333333334,10,28,38,16,9,5,11,19,79,-12.916666666666666,0.39058333333333334,0.20766666666666667,0.27108333333333334,3.716666666666667,13.158333333333333,7.758333333333334,16.266666666666666,1.8,1.7416666666666667,7.583333333333333,20.525,82,119.5
2017-04-04,Minnesota Timberwolves,0,20,41,96,0.381,4,19,0.260375,21,26,0.8584,19,31,50,22,9,3,13,19,107,-5.833333333333333,0.4195,0.21575,0.1605,7.591666666666667,14.491666666666667,10.575000000000001,11.358333333333334,1.5333333333333332,1.0916666666666668,11.325,18.75,89.83333333333333,124.91666666666667
2017-04-04,New Orleans Pelicans,1,26.666666666666668,51,100,0.4885555555555556,14,32,0.4745714285714286,15,17,0.775,10,25,35,30,5,8,7,16,131,-1.6666666666666667,0.6125555555555555,0.3531111111111111,0.1101111111111111,5.988888888888889,13.9,9.711111111111112,12.644444444444444,0.8777777777777778,1.6333333333333333,4.633333333333333,17.788888888888888,139.33333333333334,134.33333333333334
2017-04-04,New York Knicks,1,24,42,89,0.4301,6,23,0.21185714285714285,10,16,0.5583333333333333,16,38,54,26,4,8,14,22,100,4.5,0.49370000000000003,0.2927,0.2256,6.68,14.33,10.78,15.55,0.72,3.43,11.07,19,109.1,98.1
